4913
         35517645 function calls (35268577 primitive calls) in 31.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14061    3.356    0.000    3.356    0.000 {built-in method numpy.core.multiarray.concatenate}
        1    2.450    2.450   31.089   31.089 week1_for_profile.py:1(<module>)
   154671    2.397    0.000    2.397    0.000 {pandas._libs.lib.maybe_convert_objects}
8792703/8792701    1.916    0.000    3.567    0.000 {built-in method builtins.isinstance}
    14060    1.122    0.000    1.122    0.000 {pandas._libs.lib.isnullobj}
  2626592    1.044    0.000    1.044    0.000 {built-in method builtins.getattr}
2021053/2021044    0.903    0.000    0.908    0.000 {built-in method builtins.hasattr}
   309374    0.880    0.000    4.287    0.000 cast.py:868(maybe_cast_to_datetime)
   717531    0.729    0.000    1.130    0.000 common.py:1722(_get_dtype_type)
  2362709    0.675    0.000    1.651    0.000 generic.py:7(_check)
    14072    0.629    0.000    4.130    0.000 internals.py:4317(form_blocks)
1806280/1566564    0.445    0.000    0.901    0.000 {built-in method builtins.len}
   309374    0.441    0.000    2.708    0.000 cast.py:771(maybe_infer_to_datetimelike)
   745476    0.436    0.000    0.436    0.000 {built-in method numpy.core.multiarray.array}
   154703    0.434    0.000    4.571    0.000 series.py:2894(_sanitize_array)
   787738    0.428    0.000    0.723    0.000 dtypes.py:84(is_dtype)
    28133    0.394    0.000    1.064    0.000 internals.py:2876(_rebuild_blknos_and_blklocs)
28159/28146    0.327    0.000    1.502    0.000 base.py:152(__new__)
2070807/2070741    0.275    0.000    0.276    0.000 {built-in method builtins.issubclass}
    14072    0.261    0.000    0.709    0.000 internals.py:4473(_stack_arrays)
    42193    0.244    0.000    0.244    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   450026    0.242    0.000    1.170    0.000 common.py:84(is_object_dtype)
    14061    0.239    0.000    2.319    0.000 internals.py:4837(get_empty_dtype_and_na)
    14072    0.239    0.000    4.886    0.000 frame.py:5787(_homogenize)
   323452    0.229    0.000    0.363    0.000 range.py:446(__len__)
   154703    0.219    0.000    3.776    0.000 series.py:2911(_try_cast)
761949/760974    0.206    0.000    0.993    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
    14072    0.205    0.000    0.284    0.000 {pandas._libs.lib.clean_index_list}
    84430    0.199    0.000    0.199    0.000 {built-in method numpy.core.multiarray.empty}
   379735    0.191    0.000    1.055    0.000 common.py:222(is_datetimetz)
   154671    0.186    0.000    4.843    0.000 frame.py:5758(convert)
    14061    0.182    0.000    1.789    0.000 concat.py:215(__init__)
    28133    0.179    0.000   16.842    0.001 frame.py:261(__init__)
    28146    0.171    0.000    0.171    0.000 {pandas._libs.lib.infer_dtype}
    42194    0.170    0.000    0.170    0.000 {built-in method pandas._libs.lib.array_equivalent_object}
    42194    0.168    0.000    0.777    0.000 missing.py:247(array_equivalent)
   112521    0.166    0.000    0.531    0.000 internals.py:2820(shape)
   407891    0.160    0.000    0.479    0.000 common.py:333(is_datetime64tz_dtype)
   323436    0.150    0.000    0.283    0.000 inference.py:233(is_list_like)
   352558    0.146    0.000    0.146    0.000 {built-in method builtins.max}
    28144    0.138    0.000    0.673    0.000 internals.py:2683(make_block)
    14061    0.134    0.000    9.098    0.001 concat.py:356(get_result)
   154703    0.131    0.000    1.355    0.000 common.py:1549(is_extension_type)
    28122    0.130    0.000    0.181    0.000 internals.py:5031(combine_concat_plans)
     4127    0.124    0.000    0.124    0.000 {built-in method nt.stat}
   154681    0.123    0.000    0.143    0.000 base.py:1672(__getitem__)
   295472    0.122    0.000    0.399    0.000 common.py:475(is_categorical_dtype)
   154702    0.119    0.000    0.119    0.000 cast.py:759(maybe_castable)
    56255    0.117    0.000    1.374    0.000 base.py:1961(equals)
    14061    0.114    0.000    0.114    0.000 {pandas._libs.lib.to_object_array}
   337527    0.113    0.000    0.843    0.000 common.py:117(is_sparse)
    14061    0.103    0.000    5.151    0.000 frame.py:5689(_list_to_arrays)
    42205    0.103    0.000    0.103    0.000 {built-in method numpy.core.multiarray.arange}
    28133    0.101    0.000    1.714    0.000 internals.py:2779(__init__)
